id,MaxEval,MinEval,FinalEval,W<=10,W<=25,W<=50,W<=100,W<=200,W<=500,W>500,B<=10,B<=25,B<=50,B<=100,B<=200,B<=500,B>500,Wprojection,Bprojection,DifProjection
1564200,907,-31,906,19,6,5,1,1,0,0,15,6,5,4,1,1,1,11038,-74,10964
1564781,78,-51,28,8,3,4,1,0,0,0,9,5,3,1,0,0,0,1511,-104,1407
1565219,58,-2137,-2137,18,6,10,5,7,6,0,33,12,6,4,3,1,1,937,-22744,-21807
1566093,711,0,652,6,5,6,4,1,0,0,10,9,3,2,1,2,0,7813,0,7813
1566615,77,-1987,-1987,8,2,4,2,2,1,1,18,3,2,2,0,0,1,1355,-7213,-5858
1567100,79,-1327,-1327,14,6,3,5,3,2,0,26,5,3,5,2,0,0,1027,-25621,-24594
1567763,73,-1147,-992,9,4,2,4,2,4,0,13,9,3,1,1,2,0,1394,-13887,-12493
1568281,112,-705,-561,10,7,3,0,0,2,0,8,10,4,1,1,0,0,1463,-13601,-12138
1568785,77,-99993,-99993,11,4,2,2,2,2,1,17,5,2,1,2,0,0,1283,-13289,-12006
1569292,64,0,0,7,8,2,1,0,0,0,11,7,3,0,0,0,0,1578,0,1578
1569740,1201,-18,1201,13,8,8,5,2,0,0,16,5,9,8,3,0,1,14673,-31,14642
1570428,126,-1115,-1115,27,7,5,9,4,0,1,39,11,7,7,1,2,0,1823,-51234,-49411
1571385,1000,13,1000,14,7,3,2,0,0,0,11,4,6,6,1,2,0,17446,0,17446
1571932,721,0,721,19,10,9,7,2,2,0,17,11,14,12,1,2,0,24209,0,24209
